repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
1,100000,16,512,mixed,2000,528,1472,0,338.574,271.777,329.774,334.134,{}
2,100000,16,512,mixed,2000,528,1472,0,225.634,175.488,217.225,221.225,{}
3,100000,16,512,mixed,2000,528,1472,0,194.793,150.448,187.510,191.089,{}
4,100000,16,512,mixed,2000,528,1472,0,183.019,139.771,175.767,179.670,{}
5,100000,16,512,mixed,2000,528,1472,0,213.809,163.012,206.499,210.132,{}
6,100000,16,512,mixed,2000,528,1472,0,199.828,147.635,192.670,196.192,{}
7,100000,16,512,mixed,2000,528,1472,0,185.401,141.206,178.371,182.346,{}
8,100000,16,512,mixed,2000,528,1472,0,199.078,152.608,191.567,195.134,{}
9,100000,16,512,mixed,2000,528,1472,0,231.085,173.521,223.769,227.374,{}
10,100000,16,512,mixed,2000,528,1472,0,187.629,142.963,180.276,184.116,{}
1,100000,16,512,mixed,5000,528,4472,0,605.191,461.120,589.633,598.678,{}
2,100000,16,512,mixed,5000,528,4472,0,569.113,431.196,553.138,562.041,{}
3,100000,16,512,mixed,5000,528,4472,0,527.072,415.137,510.735,521.099,{}
4,100000,16,512,mixed,5000,528,4472,0,520.192,399.484,503.914,513.809,{}
5,100000,16,512,mixed,5000,528,4472,0,743.028,596.325,726.243,736.221,{}
6,100000,16,512,mixed,5000,528,4472,0,590.933,446.375,563.849,583.941,{}
7,100000,16,512,mixed,5000,528,4472,0,659.178,487.394,641.191,651.787,{}
8,100000,16,512,mixed,5000,528,4472,0,605.401,448.896,578.502,598.554,{}
9,100000,16,512,mixed,5000,528,4472,0,763.617,478.956,744.372,755.967,{}
10,100000,16,512,mixed,5000,528,4472,0,596.692,454.532,570.464,589.735,{}
1,100000,16,512,mixed,10000,528,9472,0,1302.141,997.192,1256.778,1278.819,{}
2,100000,16,512,mixed,10000,528,9472,0,1306.411,990.705,1254.954,1281.572,{}
3,100000,16,512,mixed,10000,528,9472,0,1319.451,1004.909,1276.534,1296.304,{}
4,100000,16,512,mixed,10000,528,9472,0,1321.675,1005.525,1277.998,1298.466,{}
5,100000,16,512,mixed,10000,528,9472,0,1293.928,980.526,1248.306,1269.925,{}
6,100000,16,512,mixed,10000,528,9472,0,1326.497,1012.289,1281.506,1315.347,{}
7,100000,16,512,mixed,10000,528,9472,0,1331.045,1021.607,1286.317,1319.447,{}
8,100000,16,512,mixed,10000,528,9472,0,1296.128,991.238,1251.173,1283.929,{}
9,100000,16,512,mixed,10000,528,9472,0,1302.972,987.276,1256.305,1291.570,{}
10,100000,16,512,mixed,10000,528,9472,0,1307.875,998.452,1260.925,1296.053,{}
1,100000,16,512,mixed,20000,528,15811,3661,19524.001,15479.781,19384.532,19479.778,"{""oserror_49"": 3661}"
2,100000,16,512,mixed,20000,528,15821,3651,15242.711,12024.426,15106.762,15198.876,"{""oserror_49"": 3651}"
3,100000,16,512,mixed,20000,528,15822,3650,14790.093,11645.279,14657.177,14748.224,"{""oserror_49"": 3650}"
4,100000,16,512,mixed,20000,528,15823,3649,14683.262,11569.488,14542.595,14661.825,"{""oserror_49"": 3649}"
5,100000,16,512,mixed,20000,528,15823,3649,14379.236,11296.288,14240.916,14358.065,"{""oserror_49"": 3649}"
6,100000,16,512,mixed,20000,528,15822,3650,15973.946,12625.648,15832.840,15952.442,"{""oserror_49"": 3650}"
7,100000,16,512,mixed,20000,528,15826,3646,14360.864,11307.298,14222.119,14313.921,"{""oserror_49"": 3646}"
8,100000,16,512,mixed,20000,528,15827,3645,14550.946,11459.405,14415.514,14530.171,"{""oserror_49"": 3645}"
9,100000,16,512,mixed,20000,528,15827,3645,14005.564,11023.262,13865.981,13983.170,"{""oserror_49"": 3645}"
10,100000,16,512,mixed,20000,528,15827,3645,14253.014,11190.705,14073.639,14210.506,"{""oserror_49"": 3645}"
1,1000000,16,512,mixed,2000,528,1472,0,213.931,167.193,206.172,210.165,{}
2,1000000,16,512,mixed,2000,528,1472,0,215.241,162.213,206.711,211.301,{}
3,1000000,16,512,mixed,2000,528,1472,0,207.236,155.654,198.978,202.808,{}
4,1000000,16,512,mixed,2000,528,1472,0,217.747,165.184,209.348,213.563,{}
5,1000000,16,512,mixed,2000,528,1472,0,213.478,160.936,204.704,209.127,{}
6,1000000,16,512,mixed,2000,528,1472,0,209.830,157.896,202.054,205.896,{}
7,1000000,16,512,mixed,2000,528,1472,0,210.153,161.825,202.725,206.036,{}
8,1000000,16,512,mixed,2000,528,1472,0,214.189,161.693,206.168,210.181,{}
9,1000000,16,512,mixed,2000,528,1472,0,252.421,195.525,244.955,248.948,{}
10,1000000,16,512,mixed,2000,528,1472,0,215.017,165.135,206.536,211.230,{}
1,1000000,16,512,mixed,5000,528,4472,0,572.758,435.661,545.679,565.198,{}
2,1000000,16,512,mixed,5000,528,4472,0,589.035,459.410,572.450,581.507,{}
3,1000000,16,512,mixed,5000,528,4472,0,578.862,441.084,551.936,571.374,{}
4,1000000,16,512,mixed,5000,528,4472,0,585.111,454.308,567.949,577.727,{}
5,1000000,16,512,mixed,5000,528,4472,0,593.011,451.889,565.259,585.781,{}
6,1000000,16,512,mixed,5000,528,4472,0,577.039,445.130,559.678,570.127,{}
7,1000000,16,512,mixed,5000,528,4472,0,576.622,438.129,552.837,561.889,{}
8,1000000,16,512,mixed,5000,528,4472,0,584.975,452.443,567.915,577.666,{}
9,1000000,16,512,mixed,5000,528,4472,0,617.357,480.793,593.797,602.616,{}
10,1000000,16,512,mixed,5000,528,4472,0,601.368,460.045,583.420,593.763,{}
1,1000000,16,512,mixed,10000,528,9472,0,1318.611,1016.247,1286.683,1306.112,{}
2,1000000,16,512,mixed,10000,528,9472,0,1288.172,995.193,1242.381,1276.109,{}
3,1000000,16,512,mixed,10000,528,9472,0,1295.471,995.773,1244.923,1283.341,{}
4,1000000,16,512,mixed,10000,528,9472,0,1302.366,1002.571,1254.626,1290.094,{}
5,1000000,16,512,mixed,10000,528,9472,0,1300.618,1001.893,1254.192,1287.157,{}
6,1000000,16,512,mixed,10000,528,9472,0,1268.511,977.147,1225.402,1257.239,{}
7,1000000,16,512,mixed,10000,528,9472,0,1499.408,1196.642,1456.348,1487.683,{}
8,1000000,16,512,mixed,10000,528,9472,0,1300.065,997.213,1258.015,1288.961,{}
9,1000000,16,512,mixed,10000,528,9472,0,1315.595,1008.885,1271.668,1303.477,{}
10,1000000,16,512,mixed,10000,528,9472,0,1265.513,976.613,1223.159,1253.611,{}
1,1000000,16,512,mixed,20000,528,15807,3665,15458.504,12190.672,15317.368,15412.412,"{""oserror_49"": 3665}"
2,1000000,16,512,mixed,20000,528,15815,3657,12778.507,10019.495,12643.014,12735.414,"{""oserror_49"": 3657}"
3,1000000,16,512,mixed,20000,528,15821,3651,12737.514,9997.579,12603.931,12696.230,"{""oserror_49"": 3651}"
4,1000000,16,512,mixed,20000,528,15821,3651,12687.392,9962.448,12561.048,12667.722,"{""oserror_49"": 3651}"
5,1000000,16,512,mixed,20000,528,15816,3656,8428.176,6516.234,8306.881,8408.484,"{""oserror_49"": 3656}"
6,1000000,16,512,mixed,20000,528,15818,3654,8453.926,6539.771,8332.953,8434.052,"{""oserror_49"": 3654}"
7,1000000,16,512,mixed,20000,528,15816,3656,9130.468,7065.706,8956.249,9094.837,"{""oserror_49"": 3656}"
8,1000000,16,512,mixed,20000,528,15812,3660,8555.410,6610.893,8430.555,8535.156,"{""oserror_49"": 3660}"
9,1000000,16,512,mixed,20000,528,15815,3657,8263.244,6390.030,8142.596,8243.739,"{""oserror_49"": 3657}"
10,1000000,16,512,mixed,20000,528,15820,3652,14883.282,11713.153,14760.701,14848.955,"{""oserror_49"": 3652}"
