model,scenario_id,phase,description,dataset_rows,workload,concurrency,total_requests,workers,queue_size,driver,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,throughput_rps_mean,throughput_rps_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,p99_ms_mean,p99_ms_stddev,max_ms_mean,max_ms_stddev,cpu_util_percent_mean,cpu_util_percent_stddev,max_rss_kb_mean,max_rss_kb_stddev,voluntary_ctx_mean,involuntary_ctx_mean
serial,async_1000000_mixed_c2000,async,"1,000,000 rows, mixed, async burst 2000",1000000,mixed,2000,2000,8,512,async,10,2000.000,0.000,0.000,0.000,0.000,0.000,636.613,50.359,1547.284,92.769,3008.984,468.186,3110.855,315.345,3112.208,315.433,28.124,1.855,45948928.000,15922.386,100.300,1264.100
serial,async_1000000_mixed_c5000,async,"1,000,000 rows, mixed, async burst 5000",1000000,mixed,5000,5000,8,512,async,10,5000.000,0.000,0.000,0.000,0.000,0.000,1405.697,184.182,1621.440,65.695,2912.567,314.097,3115.029,314.902,3412.583,512.987,29.101,2.813,46009548.800,15055.857,215.200,2203.800
serial,async_100000_mixed_c2000,async,"100,000 rows, mixed, async burst 2000",100000,mixed,2000,2000,8,512,async,10,2000.000,0.000,0.000,0.000,0.000,0.000,604.423,77.130,1518.013,160.986,2710.961,479.497,3107.963,564.836,3307.771,482.346,5.987,0.623,6168576.000,24727.238,117.200,512.200
serial,async_100000_mixed_c5000,async,"100,000 rows, mixed, async burst 5000",100000,mixed,5000,5000,8,512,async,10,5000.000,0.000,0.000,0.000,0.000,0.000,1561.048,19.726,1628.585,64.210,2810.850,416.673,3013.351,4.141,3016.627,4.112,11.114,0.255,6239027.200,21570.538,217.200,1368.700
serial,expanded_100k_mixed_c1024,expanded,"100k rows, mixed, burst concurrency 1024",100000,mixed,1024,1024,8,512,thread,10,1024.000,0.000,0.000,0.000,0.000,0.000,4171.987,1735.125,6.445,8.487,8.551,8.433,207.812,423.146,211.734,425.652,33.967,11.668,6127616.000,18918.614,386.700,341.200
serial,expanded_10k_mixed_c128,expanded,"10k rows, mixed, steady concurrency 128",10000,mixed,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5258.881,501.046,6.591,6.716,15.112,14.261,17.387,15.691,19.387,16.172,14.521,0.674,2139750.400,11455.789,146.900,114.000
serial,expanded_1m_mixed_c1024,expanded,"1M rows, mixed, burst concurrency 1024",1000000,mixed,1024,1024,8,512,thread,10,1024.000,0.000,0.000,0.000,0.000,0.000,5013.601,516.053,2.621,0.242,4.135,0.598,6.766,3.201,10.399,7.383,79.925,2.801,45865369.600,116673.306,406.800,1233.800
serial,expanded_1m_mixed_c128,expanded,"1M rows, mixed, steady concurrency 128",1000000,mixed,128,512,8,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5338.624,411.814,3.748,0.196,7.781,0.469,9.490,1.175,11.183,1.441,84.992,0.884,45893222.400,18030.673,164.400,926.400
serial,quick_100k_insert-only_c1,quick,"100k rows, insert-only, concurrency 1",100000,insert-only,1,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,3731.383,1260.112,0.302,0.143,0.556,0.332,1.699,2.701,8.620,8.229,39.537,4.159,6112870.400,21081.030,969.700,469.600
serial,quick_100k_insert-only_c128,quick,"100k rows, insert-only, concurrency 128",100000,insert-only,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5142.399,400.676,5.377,3.361,13.020,9.138,15.416,10.154,17.543,10.697,44.845,1.467,6121062.400,8460.661,133.600,232.600
