dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms
100000,4,128,mixed,256,256,0,0,49.798,2.141,3.163,4.123
100000,4,256,mixed,256,256,0,0,53.441,3.224,6.848,8.364
100000,4,512,mixed,256,256,0,0,50.718,3.299,8.488,10.621
100000,8,128,mixed,256,256,0,0,45.681,2.090,3.274,3.793
100000,8,256,mixed,256,256,0,0,44.639,2.372,4.591,6.549
100000,8,512,mixed,256,256,0,0,49.377,2.328,4.149,7.164
100000,16,128,mixed,256,256,0,0,53.508,2.372,6.451,8.715
100000,16,256,mixed,256,256,0,0,46.566,2.335,3.611,5.646
100000,16,512,mixed,256,256,0,0,46.441,2.033,3.252,4.321
100000,4,128,mixed,512,512,0,0,88.119,2.099,3.304,4.112
100000,4,256,mixed,512,512,0,0,92.721,2.092,3.682,5.953
100000,4,512,mixed,512,512,0,0,90.457,1.971,3.021,4.057
100000,8,128,mixed,512,512,0,0,91.858,2.885,8.122,10.519
100000,8,256,mixed,512,512,0,0,87.500,1.959,3.099,4.389
100000,8,512,mixed,512,512,0,0,96.023,2.191,3.431,4.975
100000,16,128,mixed,512,512,0,0,107.076,2.355,3.900,5.708
100000,16,256,mixed,512,512,0,0,88.185,2.023,2.984,4.008
100000,16,512,mixed,512,512,0,0,89.726,2.040,3.001,4.148
100000,4,128,mixed,1024,1024,0,0,195.554,2.061,3.219,7.003
100000,4,256,mixed,1024,1024,0,0,177.377,1.914,3.037,9.179
100000,4,512,mixed,1024,1024,0,0,183.305,1.979,3.158,6.014
100000,8,128,mixed,1024,1024,0,0,177.145,2.960,10.426,17.999
100000,8,256,mixed,1024,1024,0,0,179.833,1.929,3.084,5.912
100000,8,512,mixed,1024,1024,0,0,186.288,2.634,6.570,11.846
100000,16,128,mixed,1024,1024,0,0,179.933,1.892,3.014,6.777
100000,16,256,mixed,1024,1024,0,0,179.059,2.001,3.174,4.712
100000,16,512,mixed,1024,1024,0,0,183.203,1.961,3.029,6.667
100000,4,128,select-only,256,256,0,0,56.260,2.778,4.458,6.500
100000,4,256,select-only,256,256,0,0,54.435,2.587,4.358,6.396
100000,4,512,select-only,256,256,0,0,54.730,2.910,4.981,8.070
100000,8,128,select-only,256,256,0,0,53.834,2.284,4.142,9.254
100000,8,256,select-only,256,256,0,0,55.776,2.678,5.104,8.076
100000,8,512,select-only,256,256,0,0,54.144,2.659,4.711,6.677
100000,16,128,select-only,256,256,0,0,54.840,2.428,4.325,6.731
100000,16,256,select-only,256,256,0,0,54.018,2.794,5.156,7.320
100000,16,512,select-only,256,256,0,0,55.366,2.647,4.896,7.400
100000,4,128,select-only,512,512,0,0,106.888,2.946,4.969,6.604
100000,4,256,select-only,512,512,0,0,111.556,3.050,5.930,8.004
100000,4,512,select-only,512,512,0,0,113.269,2.822,4.849,7.045
100000,8,128,select-only,512,512,0,0,109.710,4.176,11.511,18.433
100000,8,256,select-only,512,512,0,0,109.339,2.497,4.890,6.453
100000,8,512,select-only,512,512,0,0,112.286,6.281,19.399,27.670
100000,16,128,select-only,512,512,0,0,110.684,2.561,4.425,8.089
100000,16,256,select-only,512,512,0,0,113.834,2.745,4.935,7.670
100000,16,512,select-only,512,512,0,0,114.985,5.138,15.045,21.765
100000,4,128,select-only,1024,1024,0,0,227.371,2.767,5.002,7.702
100000,4,256,select-only,1024,1024,0,0,223.834,2.772,5.080,8.669
100000,4,512,select-only,1024,1024,0,0,219.791,2.804,4.785,9.623
100000,8,128,select-only,1024,1024,0,0,230.501,2.829,5.540,10.143
100000,8,256,select-only,1024,1024,0,0,221.282,5.839,24.488,36.353
100000,8,512,select-only,1024,1024,0,0,224.260,2.697,4.771,8.120
100000,16,128,select-only,1024,1024,0,0,227.576,2.759,4.859,7.337
100000,16,256,select-only,1024,1024,0,0,225.610,2.723,5.219,9.279
100000,16,512,select-only,1024,1024,0,0,222.225,2.776,5.056,9.334
1000000,4,128,mixed,256,256,0,0,46.986,3.759,8.126,10.290
1000000,4,256,mixed,256,256,0,0,44.153,2.861,5.785,6.902
1000000,4,512,mixed,256,256,0,0,44.206,2.291,3.838,5.509
1000000,8,128,mixed,256,256,0,0,44.960,4.281,9.535,10.814
1000000,8,256,mixed,256,256,0,0,45.078,2.079,3.102,4.445
1000000,8,512,mixed,256,256,0,0,44.451,1.896,2.947,3.680
1000000,16,128,mixed,256,256,0,0,44.994,2.368,3.585,4.270
1000000,16,256,mixed,256,256,0,0,44.949,2.015,3.117,4.594
1000000,16,512,mixed,256,256,0,0,45.451,2.110,3.259,4.092
1000000,4,128,mixed,512,512,0,0,92.198,2.081,3.115,6.850
1000000,4,256,mixed,512,512,0,0,98.646,4.581,12.611,15.188
1000000,4,512,mixed,512,512,0,0,87.024,2.182,3.972,5.958
1000000,8,128,mixed,512,512,0,0,90.092,2.151,3.441,4.901
1000000,8,256,mixed,512,512,0,0,89.593,2.160,3.417,4.647
1000000,8,512,mixed,512,512,0,0,88.443,2.039,3.074,4.066
1000000,16,128,mixed,512,512,0,0,92.377,2.025,3.358,5.900
1000000,16,256,mixed,512,512,0,0,90.566,2.208,3.625,4.655
1000000,16,512,mixed,512,512,0,0,94.464,6.732,19.292,25.301
1000000,4,128,mixed,1024,1024,0,0,179.959,1.979,3.025,11.214
1000000,4,256,mixed,1024,1024,0,0,180.243,2.025,3.049,4.244
1000000,4,512,mixed,1024,1024,0,0,176.151,1.975,3.089,4.621
1000000,8,128,mixed,1024,1024,0,0,178.514,1.918,3.012,4.819
1000000,8,256,mixed,1024,1024,0,0,180.563,1.955,3.027,8.661
1000000,8,512,mixed,1024,1024,0,0,200.778,2.195,3.698,5.795
1000000,16,128,mixed,1024,1024,0,0,183.049,2.081,3.337,5.164
1000000,16,256,mixed,1024,1024,0,0,179.093,1.997,3.142,4.426
1000000,16,512,mixed,1024,1024,0,0,185.844,2.020,3.244,6.499
1000000,4,128,select-only,256,256,0,0,54.673,2.841,5.167,5.994
1000000,4,256,select-only,256,256,0,0,54.610,2.808,4.810,6.252
1000000,4,512,select-only,256,256,0,0,53.512,2.862,4.903,6.909
1000000,8,128,select-only,256,256,0,0,55.569,2.756,4.722,7.851
1000000,8,256,select-only,256,256,0,0,53.797,2.371,4.288,6.924
1000000,8,512,select-only,256,256,0,0,53.605,2.397,4.502,7.405
1000000,16,128,select-only,256,256,0,0,54.270,2.810,5.122,8.303
1000000,16,256,select-only,256,256,0,0,55.992,2.356,4.077,5.785
1000000,16,512,select-only,256,256,0,0,57.239,2.694,4.972,7.494
1000000,4,128,select-only,512,512,0,0,109.858,2.803,5.037,7.319
1000000,4,256,select-only,512,512,0,0,114.276,2.869,5.388,7.797
1000000,4,512,select-only,512,512,0,0,107.842,2.884,4.781,6.718
1000000,8,128,select-only,512,512,0,0,108.582,2.442,4.285,7.547
1000000,8,256,select-only,512,512,0,0,112.382,2.752,4.889,7.864
1000000,8,512,select-only,512,512,0,0,107.898,2.793,4.896,8.316
1000000,16,128,select-only,512,512,0,0,114.334,2.940,5.549,9.293
1000000,16,256,select-only,512,512,0,0,112.458,2.732,5.113,7.363
1000000,16,512,select-only,512,512,0,0,112.294,2.685,5.003,7.400
1000000,4,128,select-only,1024,1024,0,0,222.474,2.920,5.127,8.046
1000000,4,256,select-only,1024,1024,0,0,216.171,3.428,7.913,14.495
1000000,4,512,select-only,1024,1024,0,0,219.958,2.628,4.755,7.209
1000000,8,128,select-only,1024,1024,0,0,221.944,2.936,5.764,13.841
1000000,8,256,select-only,1024,1024,0,0,222.516,2.599,4.936,9.491
1000000,8,512,select-only,1024,1024,0,0,222.771,2.645,4.690,8.182
1000000,16,128,select-only,1024,1024,0,0,223.558,2.573,4.862,7.684
1000000,16,256,select-only,1024,1024,0,0,226.524,2.754,5.074,8.255
1000000,16,512,select-only,1024,1024,0,0,222.966,2.490,4.430,7.055
