repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms
1,100000,4,32,mixed,512,512,0,0,100.072,2.126,3.214,5.146
2,100000,4,32,mixed,512,512,0,0,105.980,2.249,3.853,5.632
3,100000,4,32,mixed,512,512,0,0,92.971,2.020,3.253,4.305
4,100000,4,32,mixed,512,512,0,0,108.662,2.427,3.817,5.302
5,100000,4,32,mixed,512,512,0,0,141.223,4.333,14.565,27.828
6,100000,4,32,mixed,512,512,0,0,126.790,2.639,4.406,7.636
7,100000,4,32,mixed,512,512,0,0,113.514,2.358,4.151,6.082
8,100000,4,32,mixed,512,512,0,0,98.344,2.093,3.367,4.427
9,100000,4,32,mixed,512,512,0,0,130.676,2.632,5.593,10.778
10,100000,4,32,mixed,512,512,0,0,103.395,2.222,3.786,5.474
1,100000,4,64,mixed,512,512,0,0,126.114,2.670,4.419,6.124
2,100000,4,64,mixed,512,512,0,0,120.519,2.432,3.973,5.335
3,100000,4,64,mixed,512,512,0,0,109.541,2.361,4.030,7.106
4,100000,4,64,mixed,512,358,10,144,97.741,19.265,40.679,49.838
5,100000,4,64,mixed,512,512,0,0,94.235,1.905,3.020,3.689
6,100000,4,64,mixed,512,512,0,0,117.585,2.561,4.420,7.149
7,100000,4,64,mixed,512,420,7,85,124.262,13.796,39.396,49.716
8,100000,4,64,mixed,512,512,0,0,108.494,2.355,3.742,5.329
9,100000,4,64,mixed,512,512,0,0,93.831,2.093,3.306,4.551
10,100000,4,64,mixed,512,512,0,0,91.663,2.040,3.265,4.894
1,100000,4,128,mixed,512,512,0,0,98.952,2.173,3.740,5.658
2,100000,4,128,mixed,512,512,0,0,122.284,2.613,3.955,6.429
3,100000,4,128,mixed,512,512,0,0,123.025,2.592,4.368,5.861
4,100000,4,128,mixed,512,512,0,0,101.088,2.165,3.702,4.981
5,100000,4,128,mixed,512,512,0,0,91.917,2.014,3.107,3.968
6,100000,4,128,mixed,512,431,1,80,91.464,16.512,40.112,47.811
7,100000,4,128,mixed,512,512,0,0,111.780,2.390,3.998,5.673
8,100000,4,128,mixed,512,512,0,0,126.989,2.528,4.140,7.574
9,100000,4,128,mixed,512,512,0,0,114.276,2.448,4.028,5.207
10,100000,4,128,mixed,512,512,0,0,95.375,2.213,3.628,5.950
1,100000,4,256,mixed,512,512,0,0,89.946,1.991,3.125,4.298
2,100000,4,256,mixed,512,512,0,0,101.467,2.152,3.502,6.025
3,100000,4,256,mixed,512,512,0,0,129.685,2.634,4.182,8.377
4,100000,4,256,mixed,512,512,0,0,122.870,2.718,4.077,5.939
5,100000,4,256,mixed,512,512,0,0,98.718,2.074,3.088,3.782
6,100000,4,256,mixed,512,512,0,0,92.403,2.010,3.340,4.875
7,100000,4,256,mixed,512,512,0,0,92.895,2.180,3.515,5.081
8,100000,4,256,mixed,512,512,0,0,126.540,2.601,4.736,11.182
9,100000,4,256,mixed,512,512,0,0,128.600,20.716,48.673,58.673
10,100000,4,256,mixed,512,512,0,0,110.398,2.454,3.859,5.506
1,100000,4,512,mixed,512,512,0,0,92.009,2.006,3.261,4.132
2,100000,4,512,mixed,512,512,0,0,102.643,9.019,31.015,34.417
3,100000,4,512,mixed,512,512,0,0,99.185,2.113,3.301,4.897
4,100000,4,512,mixed,512,512,0,0,137.263,3.043,5.424,9.769
5,100000,4,512,mixed,512,512,0,0,132.077,14.595,42.928,47.773
6,100000,4,512,mixed,512,512,0,0,97.896,2.200,3.612,6.213
7,100000,4,512,mixed,512,512,0,0,95.242,2.116,3.273,4.307
8,100000,4,512,mixed,512,512,0,0,93.560,2.076,3.312,4.689
9,100000,4,512,mixed,512,512,0,0,120.293,2.642,4.417,6.250
10,100000,4,512,mixed,512,512,0,0,133.738,2.948,5.008,8.746
1,100000,8,32,mixed,512,512,0,0,106.666,2.377,4.136,8.002
2,100000,8,32,mixed,512,512,0,0,90.719,1.962,3.172,4.134
3,100000,8,32,mixed,512,512,0,0,94.397,2.116,3.502,5.667
4,100000,8,32,mixed,512,512,0,0,113.057,2.386,3.825,7.465
5,100000,8,32,mixed,512,512,0,0,124.364,2.597,4.263,6.280
6,100000,8,32,mixed,512,512,0,0,102.938,2.243,3.709,6.008
7,100000,8,32,mixed,512,512,0,0,92.609,1.940,3.240,4.555
8,100000,8,32,mixed,512,512,0,0,97.079,2.132,3.633,5.204
9,100000,8,32,mixed,512,512,0,0,120.215,2.640,4.554,8.356
10,100000,8,32,mixed,512,512,0,0,123.491,2.730,4.279,6.352
1,100000,8,64,mixed,512,512,0,0,114.101,2.390,3.824,5.598
2,100000,8,64,mixed,512,512,0,0,97.278,2.179,3.762,7.621
3,100000,8,64,mixed,512,512,0,0,93.806,2.182,3.599,6.088
4,100000,8,64,mixed,512,512,0,0,101.417,2.207,3.838,5.166
5,100000,8,64,mixed,512,512,0,0,126.736,2.575,4.110,5.360
6,100000,8,64,mixed,512,512,0,0,120.996,2.519,4.031,6.638
7,100000,8,64,mixed,512,512,0,0,99.842,2.023,3.152,5.485
8,100000,8,64,mixed,512,512,0,0,93.492,1.982,3.102,4.288
9,100000,8,64,mixed,512,512,0,0,97.125,2.201,3.848,5.972
10,100000,8,64,mixed,512,512,0,0,119.908,2.453,3.916,5.941
1,100000,8,128,mixed,512,512,0,0,128.393,2.827,4.652,7.949
2,100000,8,128,mixed,512,512,0,0,106.782,2.430,3.943,5.765
3,100000,8,128,mixed,512,304,1,207,111.879,43.674,73.544,78.449
4,100000,8,128,mixed,512,512,0,0,92.588,2.198,3.453,4.665
5,100000,8,128,mixed,512,512,0,0,101.342,2.293,3.666,5.777
6,100000,8,128,mixed,512,512,0,0,151.873,8.581,39.301,43.624
7,100000,8,128,mixed,512,512,0,0,123.494,2.531,4.165,6.500
8,100000,8,128,mixed,512,512,0,0,96.531,2.185,3.412,4.797
9,100000,8,128,mixed,512,512,0,0,95.843,2.106,3.350,7.247
10,100000,8,128,mixed,512,512,0,0,129.528,2.636,5.608,12.928
1,100000,8,256,mixed,512,512,0,0,113.981,2.440,4.022,10.974
2,100000,8,256,mixed,512,512,0,0,126.281,2.773,4.346,5.970
3,100000,8,256,mixed,512,512,0,0,121.933,2.680,4.366,5.898
4,100000,8,256,mixed,512,512,0,0,94.879,2.044,3.260,4.619
5,100000,8,256,mixed,512,512,0,0,97.370,2.073,3.552,7.432
6,100000,8,256,mixed,512,512,0,0,98.067,2.166,3.512,5.039
7,100000,8,256,mixed,512,512,0,0,136.710,2.848,5.826,9.713
8,100000,8,256,mixed,512,512,0,0,122.857,2.714,4.493,7.927
9,100000,8,256,mixed,512,512,0,0,94.164,2.076,3.196,4.457
10,100000,8,256,mixed,512,512,0,0,95.006,2.122,3.308,5.169
1,100000,8,512,mixed,512,512,0,0,96.708,2.019,3.320,5.077
2,100000,8,512,mixed,512,512,0,0,139.422,52.699,91.828,98.518
3,100000,8,512,mixed,512,512,0,0,138.594,2.711,4.954,9.105
4,100000,8,512,mixed,512,512,0,0,145.213,2.987,5.638,10.661
5,100000,8,512,mixed,512,512,0,0,105.079,2.212,3.361,5.290
6,100000,8,512,mixed,512,512,0,0,197.988,4.060,10.118,36.466
7,100000,8,512,mixed,512,512,0,0,102.265,2.150,3.492,5.236
8,100000,8,512,mixed,512,512,0,0,131.372,2.770,4.501,7.135
9,100000,8,512,mixed,512,512,0,0,117.710,2.345,3.723,5.413
10,100000,8,512,mixed,512,512,0,0,429.318,46.021,231.664,335.062
1,100000,16,32,mixed,512,512,0,0,105.730,2.316,3.786,6.832
2,100000,16,32,mixed,512,512,0,0,95.204,2.018,3.042,6.111
3,100000,16,32,mixed,512,512,0,0,98.473,2.057,3.290,4.491
4,100000,16,32,mixed,512,512,0,0,97.421,2.134,3.334,5.001
5,100000,16,32,mixed,512,512,0,0,355.684,39.507,231.652,233.775
6,100000,16,32,mixed,512,512,0,0,127.851,2.763,5.020,8.463
7,100000,16,32,mixed,512,512,0,0,106.468,2.285,3.709,5.045
8,100000,16,32,mixed,512,512,0,0,92.133,1.983,3.059,4.885
9,100000,16,32,mixed,512,512,0,0,94.533,2.142,3.313,4.310
10,100000,16,32,mixed,512,512,0,0,101.961,2.380,3.993,6.869
1,100000,16,64,mixed,512,473,2,37,293.275,48.854,114.761,233.969
2,100000,16,64,mixed,512,512,0,0,124.114,3.463,8.404,13.107
3,100000,16,64,mixed,512,512,0,0,101.807,2.122,3.447,5.904
4,100000,16,64,mixed,512,512,0,0,90.410,1.911,2.942,5.084
5,100000,16,64,mixed,512,512,0,0,99.058,2.317,3.779,7.517
6,100000,16,64,mixed,512,512,0,0,117.481,2.484,4.050,6.544
7,100000,16,64,mixed,512,199,28,285,143.098,70.131,107.762,116.961
8,100000,16,64,mixed,512,512,0,0,104.793,2.231,3.543,5.253
9,100000,16,64,mixed,512,512,0,0,92.511,1.990,3.077,4.301
10,100000,16,64,mixed,512,429,1,82,295.184,40.536,231.177,233.705
1,100000,16,128,mixed,512,512,0,0,91.553,2.073,3.174,4.664
2,100000,16,128,mixed,512,512,0,0,94.144,1.980,3.095,4.544
3,100000,16,128,mixed,512,512,0,0,104.584,2.329,4.094,6.447
4,100000,16,128,mixed,512,512,0,0,127.343,2.631,4.082,5.540
5,100000,16,128,mixed,512,512,0,0,130.550,2.653,4.505,6.976
6,100000,16,128,mixed,512,512,0,0,107.825,2.137,3.620,6.388
7,100000,16,128,mixed,512,512,0,0,93.969,2.080,3.163,4.684
8,100000,16,128,mixed,512,512,0,0,93.806,2.066,3.243,4.693
9,100000,16,128,mixed,512,347,5,160,137.907,43.400,76.677,82.529
10,100000,16,128,mixed,512,512,0,0,126.848,2.728,4.649,8.895
1,100000,16,256,mixed,512,512,0,0,116.249,2.588,4.385,6.072
2,100000,16,256,mixed,512,512,0,0,131.661,21.836,62.965,66.523
3,100000,16,256,mixed,512,512,0,0,96.695,2.146,3.472,6.660
4,100000,16,256,mixed,512,512,0,0,97.811,2.130,3.410,4.291
5,100000,16,256,mixed,512,512,0,0,158.640,3.527,4.633,43.859
6,100000,16,256,mixed,512,512,0,0,127.297,2.697,4.333,6.510
7,100000,16,256,mixed,512,512,0,0,128.454,2.595,4.216,6.664
8,100000,16,256,mixed,512,512,0,0,138.407,4.175,38.867,44.507
9,100000,16,256,mixed,512,512,0,0,93.396,1.989,3.006,4.308
10,100000,16,256,mixed,512,512,0,0,95.903,2.167,3.355,5.302
1,100000,16,512,mixed,512,512,0,0,113.557,2.507,4.404,6.407
2,100000,16,512,mixed,512,512,0,0,124.982,2.615,4.194,7.416
3,100000,16,512,mixed,512,512,0,0,116.656,2.508,4.117,5.590
4,100000,16,512,mixed,512,512,0,0,91.519,2.067,3.211,4.166
5,100000,16,512,mixed,512,512,0,0,92.408,1.952,3.079,4.456
6,100000,16,512,mixed,512,512,0,0,118.528,2.595,4.263,5.922
7,100000,16,512,mixed,512,512,0,0,124.464,2.735,4.529,6.491
8,100000,16,512,mixed,512,512,0,0,139.187,2.430,4.813,18.030
9,100000,16,512,mixed,512,512,0,0,97.564,2.012,3.168,8.353
10,100000,16,512,mixed,512,512,0,0,94.733,2.123,3.242,4.710
1,100000,4,32,mixed,1024,1024,0,0,212.895,2.389,3.977,6.340
2,100000,4,32,mixed,1024,1024,0,0,206.884,2.294,3.903,6.814
3,100000,4,32,mixed,1024,690,36,298,364.158,27.104,102.549,233.687
4,100000,4,32,mixed,1024,1024,0,0,220.409,2.240,3.813,5.934
5,100000,4,32,mixed,1024,706,0,318,1515.676,35.102,5.010,1355.592
6,100000,4,32,mixed,1024,1024,0,0,198.387,2.139,3.535,6.288
7,100000,4,32,mixed,1024,1024,0,0,191.282,2.081,3.312,5.668
8,100000,4,32,mixed,1024,1024,0,0,781.308,17.343,4.600,594.885
9,100000,4,32,mixed,1024,1024,0,0,221.130,2.308,3.911,8.212
10,100000,4,32,mixed,1024,1024,0,0,229.707,2.409,3.989,7.305
1,100000,4,64,mixed,1024,1024,0,0,241.077,2.545,4.110,5.954
2,100000,4,64,mixed,1024,1024,0,0,242.589,2.481,4.002,6.269
3,100000,4,64,mixed,1024,1024,0,0,247.602,2.666,4.264,6.711
4,100000,4,64,mixed,1024,1024,0,0,231.293,2.462,4.005,6.001
5,100000,4,64,mixed,1024,621,13,390,242.620,45.570,109.063,119.769
6,100000,4,64,mixed,1024,1024,0,0,226.690,2.500,4.195,8.503
7,100000,4,64,mixed,1024,1024,0,0,214.744,2.403,4.020,6.700
8,100000,4,64,mixed,1024,1024,0,0,242.691,2.629,4.181,5.911
9,100000,4,64,mixed,1024,1024,0,0,242.383,2.569,4.212,8.249
10,100000,4,64,mixed,1024,1024,0,0,238.271,2.546,4.410,8.057
1,100000,4,128,mixed,1024,1024,0,0,220.370,2.250,3.662,5.807
2,100000,4,128,mixed,1024,923,0,101,1547.590,164.590,1354.426,1355.895
3,100000,4,128,mixed,1024,1024,0,0,203.258,2.161,3.605,7.254
4,100000,4,128,mixed,1024,1024,0,0,189.772,3.128,9.985,15.181
5,100000,4,128,mixed,1024,1024,0,0,182.086,1.960,3.113,4.576
6,100000,4,128,mixed,1024,1024,0,0,186.192,2.054,3.168,4.700
7,100000,4,128,mixed,1024,1024,0,0,226.399,2.398,3.908,8.086
8,100000,4,128,mixed,1024,1024,0,0,189.816,2.177,3.511,8.147
9,100000,4,128,mixed,1024,1024,0,0,185.201,1.998,3.154,4.467
10,100000,4,128,mixed,1024,1024,0,0,190.760,2.043,3.271,9.475
1,100000,4,256,mixed,1024,1024,0,0,185.794,2.102,3.283,4.914
2,100000,4,256,mixed,1024,1024,0,0,186.879,2.058,3.418,6.899
3,100000,4,256,mixed,1024,1024,0,0,181.676,1.963,3.078,4.474
4,100000,4,256,mixed,1024,1024,0,0,224.062,2.446,4.007,8.899
5,100000,4,256,mixed,1024,1024,0,0,182.629,2.009,3.189,4.504
6,100000,4,256,mixed,1024,1024,0,0,189.545,2.081,3.389,8.728
7,100000,4,256,mixed,1024,1024,0,0,181.112,1.996,3.059,9.045
8,100000,4,256,mixed,1024,1024,0,0,202.592,2.312,3.975,6.763
9,100000,4,256,mixed,1024,826,10,188,233.741,49.631,124.680,139.617
10,100000,4,256,mixed,1024,1024,0,0,189.332,2.043,3.237,6.684
1,100000,4,512,mixed,1024,1024,0,0,222.624,2.363,4.007,8.524
2,100000,4,512,mixed,1024,1024,0,0,192.004,2.052,3.247,5.722
3,100000,4,512,mixed,1024,1024,0,0,187.753,1.985,3.039,4.859
4,100000,4,512,mixed,1024,1024,0,0,187.079,2.063,3.314,4.877
5,100000,4,512,mixed,1024,1024,0,0,199.031,18.624,43.788,55.660
6,100000,4,512,mixed,1024,1024,0,0,220.660,3.355,7.597,42.009
7,100000,4,512,mixed,1024,1024,0,0,186.490,2.101,3.322,6.250
8,100000,4,512,mixed,1024,1024,0,0,220.210,2.335,3.815,8.470
9,100000,4,512,mixed,1024,1024,0,0,182.429,2.087,3.095,4.799
10,100000,4,512,mixed,1024,1024,0,0,181.608,1.999,3.053,4.238
1,100000,8,32,mixed,1024,994,0,30,213.435,5.227,40.228,44.773
2,100000,8,32,mixed,1024,1024,0,0,237.694,2.692,4.293,7.224
3,100000,8,32,mixed,1024,1024,0,0,184.996,2.020,3.116,4.643
4,100000,8,32,mixed,1024,1024,0,0,182.102,1.973,3.051,4.243
5,100000,8,32,mixed,1024,1024,0,0,185.872,1.951,3.068,4.133
6,100000,8,32,mixed,1024,866,6,152,211.343,12.180,54.511,61.338
7,100000,8,32,mixed,1024,1024,0,0,183.295,1.961,3.105,4.421
8,100000,8,32,mixed,1024,1024,0,0,183.325,2.028,3.234,4.771
9,100000,8,32,mixed,1024,1024,0,0,245.663,2.503,3.974,6.858
10,100000,8,32,mixed,1024,600,18,406,198.030,33.088,86.114,96.732
1,100000,8,64,mixed,1024,675,14,335,186.615,25.379,71.117,85.698
2,100000,8,64,mixed,1024,1024,0,0,189.787,2.050,3.266,5.364
3,100000,8,64,mixed,1024,1024,0,0,191.512,2.038,3.240,5.970
4,100000,8,64,mixed,1024,1024,0,0,188.456,1.983,3.262,6.291
5,100000,8,64,mixed,1024,1024,0,0,185.224,1.991,3.082,4.566
6,100000,8,64,mixed,1024,657,31,336,246.700,40.284,112.871,136.008
7,100000,8,64,mixed,1024,1024,0,0,189.358,2.042,3.227,6.511
8,100000,8,64,mixed,1024,1024,0,0,184.625,2.001,3.114,4.647
9,100000,8,64,mixed,1024,1024,0,0,191.046,1.974,3.165,6.922
10,100000,8,64,mixed,1024,1024,0,0,205.120,2.275,3.778,8.918
1,100000,8,128,mixed,1024,862,9,153,186.853,21.430,62.066,79.723
2,100000,8,128,mixed,1024,1024,0,0,192.378,2.091,3.268,5.705
3,100000,8,128,mixed,1024,1024,0,0,280.548,2.528,5.867,15.215
4,100000,8,128,mixed,1024,1024,0,0,251.191,2.702,5.131,17.224
5,100000,8,128,mixed,1024,921,5,98,269.596,14.217,60.998,72.934
6,100000,8,128,mixed,1024,1024,0,0,438.328,4.359,8.202,87.715
7,100000,8,128,mixed,1024,755,7,262,231.312,37.051,88.405,106.488
8,100000,8,128,mixed,1024,1024,0,0,192.946,2.127,3.510,5.664
9,100000,8,128,mixed,1024,1024,0,0,191.338,2.122,3.343,7.476
10,100000,8,128,mixed,1024,1024,0,0,202.744,2.093,3.227,5.981
1,100000,8,256,mixed,1024,1024,0,0,185.743,2.004,3.082,4.256
2,100000,8,256,mixed,1024,826,1,197,208.848,44.317,107.512,120.903
3,100000,8,256,mixed,1024,1024,0,0,185.496,2.000,3.109,4.896
4,100000,8,256,mixed,1024,1024,0,0,230.683,2.387,3.766,6.077
5,100000,8,256,mixed,1024,1024,0,0,189.697,2.071,3.274,4.777
6,100000,8,256,mixed,1024,1024,0,0,193.977,2.076,3.214,8.871
7,100000,8,256,mixed,1024,831,7,186,225.280,50.535,114.907,139.767
8,100000,8,256,mixed,1024,1024,0,0,185.655,2.067,3.227,4.952
9,100000,8,256,mixed,1024,1024,0,0,194.016,2.098,3.405,7.883
10,100000,8,256,mixed,1024,1024,0,0,189.268,2.113,3.344,6.684
1,100000,8,512,mixed,1024,1024,0,0,244.517,2.673,4.801,9.111
2,100000,8,512,mixed,1024,1024,0,0,192.313,2.022,3.219,7.659
3,100000,8,512,mixed,1024,1024,0,0,184.520,1.965,3.072,5.028
4,100000,8,512,mixed,1024,1024,0,0,222.902,2.875,3.492,36.270
5,100000,8,512,mixed,1024,1024,0,0,185.844,2.087,3.357,4.891
6,100000,8,512,mixed,1024,1024,0,0,185.164,2.029,3.270,4.984
7,100000,8,512,mixed,1024,1024,0,0,190.441,2.085,3.327,6.534
8,100000,8,512,mixed,1024,1024,0,0,318.793,3.053,5.610,11.478
9,100000,8,512,mixed,1024,1024,0,0,217.488,40.789,96.828,112.958
10,100000,8,512,mixed,1024,1024,0,0,198.349,2.131,3.423,9.068
1,100000,16,32,mixed,1024,1024,0,0,187.901,1.980,3.001,3.993
2,100000,16,32,mixed,1024,1024,0,0,237.219,2.353,3.977,8.261
3,100000,16,32,mixed,1024,1024,0,0,205.045,2.242,3.581,6.371
4,100000,16,32,mixed,1024,1024,0,0,218.829,2.277,4.047,10.822
5,100000,16,32,mixed,1024,1024,0,0,258.711,2.741,4.509,7.228
6,100000,16,32,mixed,1024,612,14,398,231.734,31.365,83.705,105.403
7,100000,16,32,mixed,1024,1024,0,0,197.746,2.088,3.336,7.698
8,100000,16,32,mixed,1024,1024,0,0,187.364,2.027,3.269,4.530
9,100000,16,32,mixed,1024,1024,0,0,187.957,2.074,3.238,4.569
10,100000,16,32,mixed,1024,1024,0,0,184.111,1.960,3.099,4.806
1,100000,16,64,mixed,1024,644,19,361,206.545,37.492,96.383,112.149
2,100000,16,64,mixed,1024,1024,0,0,237.129,2.375,3.839,5.987
3,100000,16,64,mixed,1024,1024,0,0,185.621,1.962,3.058,5.471
4,100000,16,64,mixed,1024,1024,0,0,188.117,2.013,3.189,6.980
5,100000,16,64,mixed,1024,1024,0,0,193.470,2.167,3.364,7.695
6,100000,16,64,mixed,1024,1024,0,0,209.541,2.284,3.712,6.436
7,100000,16,64,mixed,1024,1024,0,0,185.708,1.941,2.993,4.292
8,100000,16,64,mixed,1024,943,3,78,207.408,8.583,44.629,51.585
9,100000,16,64,mixed,1024,1024,0,0,213.308,2.196,3.688,6.311
10,100000,16,64,mixed,1024,954,0,70,193.372,4.388,22.374,29.695
1,100000,16,128,mixed,1024,1024,0,0,184.207,1.972,3.142,4.081
2,100000,16,128,mixed,1024,1024,0,0,190.795,2.053,3.243,7.662
3,100000,16,128,mixed,1024,729,6,289,240.935,33.736,89.435,96.371
4,100000,16,128,mixed,1024,1024,0,0,189.186,2.027,3.175,5.168
5,100000,16,128,mixed,1024,1024,0,0,193.360,2.159,3.654,7.891
6,100000,16,128,mixed,1024,1024,0,0,200.872,2.119,3.351,7.562
7,100000,16,128,mixed,1024,1024,0,0,189.340,2.166,3.677,8.504
8,100000,16,128,mixed,1024,775,9,240,194.004,34.035,86.236,111.882
9,100000,16,128,mixed,1024,1024,0,0,186.553,2.027,3.209,6.523
10,100000,16,128,mixed,1024,1024,0,0,250.792,2.717,4.641,11.404
1,100000,16,256,mixed,1024,1024,0,0,184.027,1.960,3.126,5.084
2,100000,16,256,mixed,1024,1024,0,0,182.947,1.962,3.162,4.213
3,100000,16,256,mixed,1024,1007,0,17,201.437,25.417,73.572,91.056
4,100000,16,256,mixed,1024,1024,0,0,193.539,2.073,3.318,7.186
5,100000,16,256,mixed,1024,1024,0,0,189.470,2.071,3.432,7.364
6,100000,16,256,mixed,1024,1024,0,0,184.945,1.980,3.195,4.990
7,100000,16,256,mixed,1024,1024,0,0,239.395,2.525,4.046,5.866
8,100000,16,256,mixed,1024,877,4,143,198.911,42.930,93.700,110.566
