repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms
1,10000,4,32,mixed,512,512,0,0,103.298,2.233,3.729,6.760
2,10000,4,32,mixed,512,512,0,0,98.552,2.191,3.564,5.394
3,10000,4,32,mixed,512,512,0,0,89.840,1.986,3.116,4.214
4,10000,4,32,mixed,512,148,26,338,101.154,39.316,67.764,79.474
5,10000,4,32,mixed,512,512,0,0,93.621,2.074,3.353,7.243
6,10000,4,32,mixed,512,512,0,0,91.326,2.020,3.147,5.446
7,10000,4,32,mixed,512,512,0,0,89.406,1.938,3.016,4.315
8,10000,4,32,mixed,512,512,0,0,91.450,2.162,3.447,4.930
9,10000,4,32,mixed,512,512,0,0,92.681,2.122,3.156,4.346
10,10000,4,32,mixed,512,512,0,0,90.350,1.956,3.051,4.513
1,10000,4,64,mixed,512,512,0,0,93.477,2.159,3.494,4.473
2,10000,4,64,mixed,512,512,0,0,104.042,2.261,4.082,7.284
3,10000,4,64,mixed,512,512,0,0,98.459,2.004,3.311,5.890
4,10000,4,64,mixed,512,512,0,0,93.562,2.092,3.392,6.571
5,10000,4,64,mixed,512,512,0,0,88.552,1.956,2.918,4.250
6,10000,4,64,mixed,512,512,0,0,87.347,2.008,3.077,4.075
7,10000,4,64,mixed,512,512,0,0,89.121,1.982,3.024,4.690
8,10000,4,64,mixed,512,512,0,0,112.772,3.100,4.085,27.103
9,10000,4,64,mixed,512,512,0,0,94.235,2.172,3.512,5.119
10,10000,4,64,mixed,512,512,0,0,98.673,2.197,3.540,7.311
1,10000,4,128,mixed,512,512,0,0,92.061,2.059,3.208,4.168
2,10000,4,128,mixed,512,512,0,0,90.696,2.003,3.168,5.346
3,10000,4,128,mixed,512,224,18,270,116.840,53.694,87.304,91.444
4,10000,4,128,mixed,512,512,0,0,91.082,2.061,3.128,4.409
5,10000,4,128,mixed,512,512,0,0,86.938,1.943,3.038,8.839
6,10000,4,128,mixed,512,512,0,0,88.473,1.991,3.042,4.391
7,10000,4,128,mixed,512,512,0,0,88.523,1.982,3.049,4.298
8,10000,4,128,mixed,512,512,0,0,93.150,2.127,3.367,7.201
9,10000,4,128,mixed,512,512,0,0,92.288,2.034,3.078,5.251
10,10000,4,128,mixed,512,512,0,0,87.318,1.916,2.985,4.191
1,10000,4,256,mixed,512,512,0,0,93.162,2.022,3.282,6.054
2,10000,4,256,mixed,512,512,0,0,87.978,2.012,3.021,4.665
3,10000,4,256,mixed,512,512,0,0,88.348,1.968,3.018,3.592
4,10000,4,256,mixed,512,512,0,0,88.611,1.966,2.959,4.169
5,10000,4,256,mixed,512,512,0,0,87.669,1.938,3.075,4.400
6,10000,4,256,mixed,512,512,0,0,92.332,2.143,3.529,6.910
7,10000,4,256,mixed,512,512,0,0,94.293,2.155,3.505,6.980
8,10000,4,256,mixed,512,512,0,0,89.140,2.141,3.949,6.370
9,10000,4,256,mixed,512,512,0,0,88.205,2.032,3.092,4.037
10,10000,4,256,mixed,512,512,0,0,88.927,2.049,3.074,4.315
1,10000,4,512,mixed,512,512,0,0,88.538,1.974,3.135,4.193
2,10000,4,512,mixed,512,512,0,0,111.956,5.721,28.808,31.545
3,10000,4,512,mixed,512,512,0,0,93.859,2.078,3.123,4.740
4,10000,4,512,mixed,512,512,0,0,93.136,1.997,3.221,6.939
5,10000,4,512,mixed,512,512,0,0,90.429,1.970,3.010,4.566
6,10000,4,512,mixed,512,512,0,0,90.278,2.057,3.323,5.619
7,10000,4,512,mixed,512,512,0,0,110.619,51.783,79.047,83.179
8,10000,4,512,mixed,512,512,0,0,93.962,1.967,3.148,4.417
9,10000,4,512,mixed,512,512,0,0,88.598,1.925,3.112,4.185
10,10000,4,512,mixed,512,512,0,0,100.898,2.170,3.597,5.005
1,10000,8,32,mixed,512,512,0,0,94.832,2.227,3.397,5.688
2,10000,8,32,mixed,512,512,0,0,94.952,2.065,3.248,5.383
3,10000,8,32,mixed,512,512,0,0,94.899,2.235,3.687,7.888
4,10000,8,32,mixed,512,512,0,0,88.508,1.977,3.015,5.039
5,10000,8,32,mixed,512,512,0,0,88.283,1.969,3.031,3.792
6,10000,8,32,mixed,512,512,0,0,91.733,1.930,3.093,4.202
7,10000,8,32,mixed,512,512,0,0,88.034,1.971,3.071,4.082
8,10000,8,32,mixed,512,512,0,0,89.249,1.888,2.951,3.772
9,10000,8,32,mixed,512,512,0,0,87.889,1.976,3.009,4.306
10,10000,8,32,mixed,512,512,0,0,91.642,2.072,3.334,4.449
1,10000,8,64,mixed,512,512,0,0,89.997,1.961,3.177,5.475
2,10000,8,64,mixed,512,512,0,0,89.768,2.040,3.115,4.379
3,10000,8,64,mixed,512,512,0,0,89.729,1.995,2.961,4.486
4,10000,8,64,mixed,512,512,0,0,89.779,1.894,3.079,4.150
5,10000,8,64,mixed,512,512,0,0,90.106,2.032,2.960,4.776
6,10000,8,64,mixed,512,342,4,166,102.433,20.807,48.335,52.839
7,10000,8,64,mixed,512,512,0,0,88.932,1.907,2.977,4.522
8,10000,8,64,mixed,512,512,0,0,88.782,1.983,3.073,5.100
9,10000,8,64,mixed,512,512,0,0,92.395,2.020,3.234,6.427
10,10000,8,64,mixed,512,512,0,0,89.599,1.892,2.910,4.276
1,10000,8,128,mixed,512,512,0,0,89.774,1.999,3.128,5.120
2,10000,8,128,mixed,512,512,0,0,88.562,1.968,3.223,4.503
3,10000,8,128,mixed,512,512,0,0,90.392,1.985,3.109,4.016
4,10000,8,128,mixed,512,512,0,0,88.742,2.059,3.250,4.285
5,10000,8,128,mixed,512,512,0,0,92.087,2.049,3.276,7.261
6,10000,8,128,mixed,512,512,0,0,90.701,1.991,3.137,4.380
7,10000,8,128,mixed,512,512,0,0,92.976,2.049,3.319,5.293
8,10000,8,128,mixed,512,512,0,0,87.483,1.960,3.063,3.997
9,10000,8,128,mixed,512,512,0,0,91.237,1.974,3.091,3.886
10,10000,8,128,mixed,512,512,0,0,91.807,2.235,3.517,4.943
1,10000,8,256,mixed,512,512,0,0,95.389,2.083,3.267,4.739
2,10000,8,256,mixed,512,512,0,0,90.186,1.992,3.082,4.238
3,10000,8,256,mixed,512,512,0,0,95.536,2.192,3.600,7.502
4,10000,8,256,mixed,512,512,0,0,95.227,8.229,19.978,25.414
5,10000,8,256,mixed,512,512,0,0,106.370,7.900,32.510,34.871
6,10000,8,256,mixed,512,512,0,0,89.261,2.171,3.267,4.754
7,10000,8,256,mixed,512,512,0,0,87.974,1.919,2.970,3.661
8,10000,8,256,mixed,512,512,0,0,89.791,2.001,3.073,3.961
9,10000,8,256,mixed,512,512,0,0,87.551,1.919,3.085,3.959
10,10000,8,256,mixed,512,453,2,57,103.670,36.374,64.589,68.780
1,10000,8,512,mixed,512,512,0,0,88.749,1.881,2.931,4.329
2,10000,8,512,mixed,512,512,0,0,90.275,1.875,3.003,3.932
3,10000,8,512,mixed,512,512,0,0,92.833,2.063,3.425,5.733
4,10000,8,512,mixed,512,512,0,0,90.709,1.969,3.159,4.815
5,10000,8,512,mixed,512,512,0,0,88.105,1.962,3.003,4.591
6,10000,8,512,mixed,512,512,0,0,91.279,2.008,3.307,5.505
7,10000,8,512,mixed,512,512,0,0,93.503,2.070,3.291,5.656
8,10000,8,512,mixed,512,512,0,0,89.446,1.938,3.144,4.195
9,10000,8,512,mixed,512,512,0,0,91.722,2.062,3.235,7.322
10,10000,8,512,mixed,512,512,0,0,89.203,2.062,3.202,4.349
1,10000,16,32,mixed,512,512,0,0,92.239,2.085,3.210,6.190
2,10000,16,32,mixed,512,512,0,0,88.834,2.003,3.046,4.735
3,10000,16,32,mixed,512,512,0,0,89.565,2.116,3.229,8.098
4,10000,16,32,mixed,512,512,0,0,90.288,2.044,3.255,4.763
5,10000,16,32,mixed,512,512,0,0,88.370,1.972,3.109,4.820
6,10000,16,32,mixed,512,512,0,0,90.089,2.152,3.384,4.344
7,10000,16,32,mixed,512,512,0,0,97.838,2.125,3.205,7.721
8,10000,16,32,mixed,512,512,0,0,87.331,1.953,3.002,5.178
9,10000,16,32,mixed,512,482,0,30,99.881,5.190,20.454,25.908
10,10000,16,32,mixed,512,512,0,0,88.883,2.062,3.235,4.137
1,10000,16,64,mixed,512,512,0,0,89.968,1.994,3.180,4.239
2,10000,16,64,mixed,512,512,0,0,91.250,2.002,3.132,4.928
3,10000,16,64,mixed,512,512,0,0,89.464,2.065,3.187,4.504
4,10000,16,64,mixed,512,317,4,191,89.174,21.543,43.411,56.802
5,10000,16,64,mixed,512,512,0,0,90.113,2.059,3.456,4.744
6,10000,16,64,mixed,512,512,0,0,92.713,1.947,3.054,4.500
7,10000,16,64,mixed,512,512,0,0,93.378,2.090,3.097,6.499
8,10000,16,64,mixed,512,512,0,0,95.742,2.139,3.403,4.463
9,10000,16,64,mixed,512,512,0,0,90.138,1.981,3.029,4.916
10,10000,16,64,mixed,512,512,0,0,91.675,2.128,3.310,4.671
1,10000,16,128,mixed,512,512,0,0,90.100,1.996,3.144,5.281
2,10000,16,128,mixed,512,512,0,0,89.211,2.014,3.016,4.696
3,10000,16,128,mixed,512,512,0,0,93.521,2.043,3.229,4.480
4,10000,16,128,mixed,512,512,0,0,96.408,3.869,15.641,18.321
5,10000,16,128,mixed,512,512,0,0,96.657,2.246,3.773,5.724
6,10000,16,128,mixed,512,512,0,0,100.787,2.239,3.905,6.923
7,10000,16,128,mixed,512,512,0,0,95.336,2.199,3.387,4.983
8,10000,16,128,mixed,512,512,0,0,91.840,2.046,3.179,4.557
9,10000,16,128,mixed,512,512,0,0,91.885,2.052,3.106,6.078
10,10000,16,128,mixed,512,512,0,0,89.726,2.029,3.024,4.347
1,10000,16,256,mixed,512,512,0,0,94.025,2.075,3.158,4.258
2,10000,16,256,mixed,512,512,0,0,93.963,2.174,3.416,5.690
3,10000,16,256,mixed,512,512,0,0,89.336,1.977,3.153,4.363
4,10000,16,256,mixed,512,512,0,0,91.684,2.045,3.215,5.359
5,10000,16,256,mixed,512,512,0,0,90.256,1.873,2.916,3.904
6,10000,16,256,mixed,512,512,0,0,90.054,1.982,2.993,4.749
7,10000,16,256,mixed,512,512,0,0,89.886,2.068,3.172,3.969
8,10000,16,256,mixed,512,512,0,0,89.289,1.994,2.954,3.873
9,10000,16,256,mixed,512,512,0,0,90.212,2.017,3.008,4.319
10,10000,16,256,mixed,512,512,0,0,90.895,1.920,2.791,3.852
1,10000,16,512,mixed,512,512,0,0,90.084,2.016,3.028,4.223
2,10000,16,512,mixed,512,512,0,0,91.723,2.057,3.294,5.193
3,10000,16,512,mixed,512,512,0,0,88.467,2.012,3.028,3.852
4,10000,16,512,mixed,512,512,0,0,89.196,1.912,2.945,4.348
5,10000,16,512,mixed,512,512,0,0,98.307,2.158,3.560,6.697
6,10000,16,512,mixed,512,512,0,0,90.609,2.005,2.978,4.185
7,10000,16,512,mixed,512,512,0,0,89.702,2.187,3.402,4.945
8,10000,16,512,mixed,512,512,0,0,89.101,1.950,2.939,3.862
9,10000,16,512,mixed,512,512,0,0,90.132,2.118,3.177,4.180
10,10000,16,512,mixed,512,512,0,0,94.673,2.059,3.259,5.293
1,10000,4,32,mixed,1024,1024,0,0,183.649,2.019,3.135,7.291
2,10000,4,32,mixed,1024,1024,0,0,177.022,1.981,2.988,4.323
3,10000,4,32,mixed,1024,1024,0,0,180.227,1.959,3.033,4.730
4,10000,4,32,mixed,1024,1024,0,0,182.634,2.007,3.228,7.607
5,10000,4,32,mixed,1024,1024,0,0,175.998,1.954,3.078,4.271
6,10000,4,32,mixed,1024,592,20,412,183.949,25.438,73.439,87.312
7,10000,4,32,mixed,1024,1024,0,0,180.726,1.972,3.069,4.654
8,10000,4,32,mixed,1024,746,15,263,185.771,14.565,50.409,59.572
9,10000,4,32,mixed,1024,1024,0,0,177.614,1.939,2.963,4.209
10,10000,4,32,mixed,1024,1024,0,0,186.751,2.158,3.549,6.471
1,10000,4,64,mixed,1024,1024,0,0,177.258,1.966,2.967,4.302
2,10000,4,64,mixed,1024,1024,0,0,175.401,1.987,3.083,6.180
3,10000,4,64,mixed,1024,560,26,438,181.421,31.233,76.793,98.547
4,10000,4,64,mixed,1024,1024,0,0,178.265,2.028,3.154,4.555
5,10000,4,64,mixed,1024,1024,0,0,174.610,1.922,3.048,4.364
6,10000,4,64,mixed,1024,933,5,86,197.244,8.114,39.301,45.341
7,10000,4,64,mixed,1024,1024,0,0,183.340,2.061,3.231,6.330
8,10000,4,64,mixed,1024,1024,0,0,179.934,2.058,3.223,7.454
9,10000,4,64,mixed,1024,1024,0,0,176.254,1.880,2.917,4.620
10,10000,4,64,mixed,1024,1024,0,0,180.681,1.955,3.124,6.674
1,10000,4,128,mixed,1024,1024,0,0,177.634,1.995,3.202,4.608
2,10000,4,128,mixed,1024,1024,0,0,177.483,1.974,2.978,4.493
3,10000,4,128,mixed,1024,698,25,301,190.940,32.920,86.998,99.879
4,10000,4,128,mixed,1024,1024,0,0,182.246,2.094,3.261,10.620
5,10000,4,128,mixed,1024,1024,0,0,175.168,1.940,2.959,4.692
6,10000,4,128,mixed,1024,1024,0,0,176.453,1.934,3.072,4.171
7,10000,4,128,mixed,1024,1024,0,0,176.492,1.969,3.002,4.121
8,10000,4,128,mixed,1024,1024,0,0,176.647,2.011,3.116,5.592
9,10000,4,128,mixed,1024,1024,0,0,175.032,1.970,2.990,4.441
10,10000,4,128,mixed,1024,1024,0,0,176.090,1.890,2.896,3.905
1,10000,4,256,mixed,1024,1024,0,0,179.954,2.018,3.140,5.713
2,10000,4,256,mixed,1024,1024,0,0,178.809,2.022,3.121,6.428
