repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms
1,100000,8,128,mixed,512,512,0,0,95.761,3.085,6.194,9.169
2,100000,8,128,mixed,512,512,0,0,95.564,2.550,4.575,6.653
3,100000,8,128,mixed,512,512,0,0,105.712,3.614,8.903,11.939
4,100000,8,128,mixed,512,512,0,0,89.960,1.958,3.037,4.175
5,100000,8,128,mixed,512,512,0,0,102.398,2.358,3.686,4.860
6,100000,8,128,mixed,512,512,0,0,124.566,2.818,5.981,10.721
7,100000,8,128,mixed,512,512,0,0,115.886,4.004,10.438,13.148
8,100000,8,128,mixed,512,512,0,0,118.381,2.630,4.194,5.845
9,100000,8,128,mixed,512,512,0,0,103.785,2.214,3.709,6.281
10,100000,8,128,mixed,512,512,0,0,104.007,2.181,3.490,9.739
1,100000,8,512,mixed,512,512,0,0,92.469,2.020,3.159,3.916
2,100000,8,512,mixed,512,512,0,0,87.813,1.943,2.978,4.564
3,100000,8,512,mixed,512,512,0,0,96.646,3.343,10.495,13.162
4,100000,8,512,mixed,512,512,0,0,97.838,2.153,3.405,4.932
5,100000,8,512,mixed,512,512,0,0,112.503,2.478,5.061,9.599
6,100000,8,512,mixed,512,512,0,0,89.426,2.024,3.020,3.974
7,100000,8,512,mixed,512,512,0,0,89.225,1.916,2.951,4.296
8,100000,8,512,mixed,512,512,0,0,104.890,2.313,3.834,5.443
9,100000,8,512,mixed,512,512,0,0,89.014,1.930,2.923,4.292
10,100000,8,512,mixed,512,512,0,0,146.078,3.212,5.704,33.612
1,100000,16,128,mixed,512,512,0,0,91.857,2.126,3.291,5.025
2,100000,16,128,mixed,512,512,0,0,93.745,2.007,3.212,4.350
3,100000,16,128,mixed,512,512,0,0,113.372,2.954,6.075,7.423
4,100000,16,128,mixed,512,512,0,0,88.011,2.037,3.146,4.145
5,100000,16,128,mixed,512,512,0,0,88.453,1.994,3.136,3.864
6,100000,16,128,mixed,512,512,0,0,97.662,3.923,11.538,17.510
7,100000,16,128,mixed,512,512,0,0,91.145,2.036,3.055,4.138
8,100000,16,128,mixed,512,512,0,0,97.678,2.118,3.708,9.002
9,100000,16,128,mixed,512,512,0,0,89.928,2.009,2.998,5.649
10,100000,16,128,mixed,512,512,0,0,101.736,2.337,4.194,11.360
1,100000,16,512,mixed,512,512,0,0,92.055,2.010,3.418,5.724
2,100000,16,512,mixed,512,512,0,0,88.658,1.989,3.022,3.804
3,100000,16,512,mixed,512,512,0,0,93.233,2.173,3.354,4.558
4,100000,16,512,mixed,512,512,0,0,92.975,1.929,3.041,3.799
5,100000,16,512,mixed,512,512,0,0,90.201,1.864,2.946,3.645
6,100000,16,512,mixed,512,512,0,0,103.639,6.037,19.475,23.386
7,100000,16,512,mixed,512,512,0,0,89.851,3.314,9.518,12.609
8,100000,16,512,mixed,512,512,0,0,87.599,2.097,3.231,4.864
9,100000,16,512,mixed,512,512,0,0,102.261,4.407,12.432,17.719
10,100000,16,512,mixed,512,512,0,0,87.994,2.003,3.042,4.807
1,100000,8,128,mixed,1024,1024,0,0,192.322,2.022,3.407,6.072
2,100000,8,128,mixed,1024,1024,0,0,186.120,2.199,3.869,9.725
3,100000,8,128,mixed,1024,1024,0,0,176.099,1.848,2.845,4.204
4,100000,8,128,mixed,1024,1024,0,0,182.999,2.029,3.094,5.825
5,100000,8,128,mixed,1024,1024,0,0,178.276,1.894,2.989,4.412
6,100000,8,128,mixed,1024,1024,0,0,183.217,1.973,3.194,7.703
7,100000,8,128,mixed,1024,1024,0,0,183.919,2.933,8.939,14.881
8,100000,8,128,mixed,1024,1024,0,0,182.925,1.985,3.033,6.563
9,100000,8,128,mixed,1024,1024,0,0,183.131,2.013,3.104,5.132
10,100000,8,128,mixed,1024,1022,0,2,183.861,6.322,25.093,32.828
1,100000,8,512,mixed,1024,1024,0,0,186.779,1.998,3.339,6.428
2,100000,8,512,mixed,1024,1024,0,0,179.117,1.956,3.085,7.533
3,100000,8,512,mixed,1024,1024,0,0,182.176,1.970,3.009,4.485
4,100000,8,512,mixed,1024,1024,0,0,184.250,1.916,2.982,7.012
5,100000,8,512,mixed,1024,1024,0,0,178.043,7.951,29.638,40.413
6,100000,8,512,mixed,1024,1024,0,0,188.511,2.024,3.400,6.965
7,100000,8,512,mixed,1024,1024,0,0,185.245,2.113,3.192,4.502
8,100000,8,512,mixed,1024,1024,0,0,183.357,1.997,3.082,4.745
9,100000,8,512,mixed,1024,1024,0,0,186.726,2.013,3.139,9.321
10,100000,8,512,mixed,1024,1024,0,0,185.492,10.356,38.527,46.350
1,100000,16,128,mixed,1024,1024,0,0,195.423,2.089,3.408,8.772
2,100000,16,128,mixed,1024,1024,0,0,206.937,2.246,4.211,11.150
3,100000,16,128,mixed,1024,1024,0,0,178.730,1.958,2.994,5.115
4,100000,16,128,mixed,1024,1024,0,0,180.500,1.967,3.060,4.322
5,100000,16,128,mixed,1024,974,0,50,182.779,10.965,41.347,53.837
6,100000,16,128,mixed,1024,1024,0,0,184.880,2.054,3.253,6.179
7,100000,16,128,mixed,1024,1024,0,0,179.302,1.962,3.065,5.303
8,100000,16,128,mixed,1024,1024,0,0,180.585,1.936,3.104,4.777
9,100000,16,128,mixed,1024,1024,0,0,189.737,2.124,3.381,7.803
10,100000,16,128,mixed,1024,1024,0,0,182.008,2.031,3.241,5.515
1,100000,16,512,mixed,1024,1024,0,0,220.519,2.301,3.835,7.091
2,100000,16,512,mixed,1024,1024,0,0,198.509,2.143,3.353,5.026
3,100000,16,512,mixed,1024,1024,0,0,252.270,5.052,24.542,40.453
4,100000,16,512,mixed,1024,1024,0,0,202.570,2.238,3.414,5.496
5,100000,16,512,mixed,1024,1024,0,0,215.144,8.576,38.778,51.368
6,100000,16,512,mixed,1024,1024,0,0,220.100,2.389,4.143,9.039
7,100000,16,512,mixed,1024,1024,0,0,179.198,1.930,3.047,6.708
8,100000,16,512,mixed,1024,1024,0,0,175.730,1.930,2.985,5.240
9,100000,16,512,mixed,1024,1024,0,0,180.395,1.934,2.996,4.258
10,100000,16,512,mixed,1024,1024,0,0,191.505,2.088,3.234,7.173
1,1000000,8,128,mixed,512,512,0,0,97.060,2.283,3.813,6.392
2,1000000,8,128,mixed,512,512,0,0,90.049,2.238,3.494,4.735
3,1000000,8,128,mixed,512,512,0,0,90.825,2.173,3.245,5.216
4,1000000,8,128,mixed,512,419,0,93,94.325,17.427,41.298,48.756
5,1000000,8,128,mixed,512,512,0,0,88.713,2.343,4.237,6.412
6,1000000,8,128,mixed,512,512,0,0,104.927,2.208,3.505,6.144
7,1000000,8,128,mixed,512,512,0,0,88.079,1.929,2.974,4.315
8,1000000,8,128,mixed,512,512,0,0,87.696,1.895,2.795,3.936
9,1000000,8,128,mixed,512,512,0,0,90.924,2.163,3.657,6.110
