repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
1,100000,4,512,mixed,10000,516,9484,0,1319.720,1020.221,1285.339,1307.997,{}
2,100000,4,512,mixed,10000,516,9484,0,1262.323,985.786,1232.559,1250.572,{}
3,100000,4,512,mixed,10000,516,9484,0,1311.053,1038.119,1280.002,1299.444,{}
4,100000,4,512,mixed,10000,516,9484,0,1359.465,1058.425,1328.387,1347.070,{}
5,100000,4,512,mixed,10000,516,9484,0,1434.813,1107.803,1388.826,1409.699,{}
6,100000,4,512,mixed,10000,516,9484,0,1222.998,933.220,1180.905,1199.128,{}
7,100000,4,512,mixed,10000,516,9484,0,1280.221,981.543,1237.409,1256.191,{}
8,100000,4,512,mixed,10000,516,9484,0,1297.644,1001.955,1257.362,1275.876,{}
9,100000,4,512,mixed,10000,516,9484,0,1349.071,966.705,1255.407,1318.171,{}
10,100000,4,512,mixed,10000,516,9484,0,1279.899,985.146,1236.317,1255.242,{}
1,100000,8,512,mixed,10000,520,9480,0,1309.121,997.721,1260.845,1282.309,{}
2,100000,8,512,mixed,10000,520,9480,0,1253.577,968.106,1211.611,1241.838,{}
3,100000,8,512,mixed,10000,520,9480,0,1291.078,994.074,1246.372,1279.182,{}
4,100000,8,512,mixed,10000,520,9480,0,1279.601,990.482,1235.479,1267.638,{}
5,100000,8,512,mixed,10000,520,9480,0,1246.700,963.926,1202.726,1234.657,{}
6,100000,8,512,mixed,10000,520,9480,0,1261.615,976.091,1218.474,1249.942,{}
7,100000,8,512,mixed,10000,520,9480,0,1270.350,984.139,1227.896,1258.860,{}
8,100000,8,512,mixed,10000,520,9480,0,1249.959,966.686,1206.480,1238.341,{}
9,100000,8,512,mixed,10000,520,9480,0,1247.003,967.904,1204.633,1235.620,{}
10,100000,8,512,mixed,10000,520,9480,0,1233.980,955.316,1190.307,1222.688,{}
1,100000,16,512,mixed,10000,528,9472,0,1247.756,963.217,1204.558,1236.133,{}
2,100000,16,512,mixed,10000,528,9472,0,1269.663,980.241,1226.305,1257.776,{}
3,100000,16,512,mixed,10000,528,9472,0,1252.656,972.120,1210.329,1240.986,{}
4,100000,16,512,mixed,10000,528,9472,0,1252.175,970.543,1210.153,1241.012,{}
5,100000,16,512,mixed,10000,528,9472,0,1247.977,962.026,1205.103,1236.292,{}
6,100000,16,512,mixed,10000,528,9472,0,1262.311,974.333,1219.713,1250.994,{}
7,100000,16,512,mixed,10000,528,9472,0,1248.382,965.251,1206.063,1237.042,{}
8,100000,16,512,mixed,10000,528,9472,0,1245.180,961.713,1202.666,1233.803,{}
9,100000,16,512,mixed,10000,528,9472,0,1243.317,960.278,1200.360,1231.574,{}
10,100000,16,512,mixed,10000,528,9472,0,1250.544,967.008,1207.492,1238.996,{}
1,1000000,4,512,mixed,10000,516,9484,0,1257.544,974.310,1215.905,1245.872,{}
2,1000000,4,512,mixed,10000,516,9484,0,1270.612,981.462,1229.355,1259.550,{}
3,1000000,4,512,mixed,10000,516,9484,0,1289.854,1001.656,1246.414,1277.994,{}
4,1000000,4,512,mixed,10000,516,9484,0,1203.092,928.352,1164.488,1191.463,{}
5,1000000,4,512,mixed,10000,516,9484,0,1132.774,874.575,1096.341,1122.129,{}
6,1000000,4,512,mixed,10000,516,9484,0,1479.451,1222.522,1440.307,1467.974,{}
7,1000000,4,512,mixed,10000,516,9484,0,1286.324,993.539,1243.010,1274.747,{}
8,1000000,4,512,mixed,10000,516,9484,0,1301.188,1026.740,1258.288,1288.696,{}
9,1000000,4,512,mixed,10000,516,9484,0,1108.117,855.373,1072.461,1097.576,{}
10,1000000,4,512,mixed,10000,516,9484,0,1190.327,922.506,1151.546,1179.598,{}
1,1000000,8,512,mixed,10000,520,9480,0,1125.730,873.555,1089.554,1114.943,{}
2,1000000,8,512,mixed,10000,520,9480,0,1284.037,991.820,1240.640,1272.120,{}
3,1000000,8,512,mixed,10000,520,9480,0,1245.419,962.665,1200.988,1233.692,{}
4,1000000,8,512,mixed,10000,520,9480,0,1250.611,967.401,1207.054,1238.767,{}
5,1000000,8,512,mixed,10000,520,9480,0,1249.742,969.944,1209.834,1238.766,{}
6,1000000,8,512,mixed,10000,520,9480,0,1257.363,974.700,1216.103,1246.284,{}
7,1000000,8,512,mixed,10000,520,9480,0,1261.139,976.670,1220.549,1249.808,{}
8,1000000,8,512,mixed,10000,520,9480,0,1257.390,977.430,1216.582,1246.258,{}
9,1000000,8,512,mixed,10000,520,9480,0,1266.853,980.754,1222.286,1254.947,{}
10,1000000,8,512,mixed,10000,520,9480,0,1255.339,970.511,1211.581,1242.904,{}
1,1000000,16,512,mixed,10000,528,9472,0,1279.652,993.433,1236.409,1267.606,{}
2,1000000,16,512,mixed,10000,528,9472,0,1261.148,974.680,1217.176,1249.771,{}
3,1000000,16,512,mixed,10000,528,9472,0,1257.244,974.200,1214.793,1245.653,{}
4,1000000,16,512,mixed,10000,528,9472,0,1266.180,980.398,1222.480,1254.330,{}
5,1000000,16,512,mixed,10000,528,9472,0,1261.524,977.378,1218.032,1250.095,{}
6,1000000,16,512,mixed,10000,528,9472,0,1256.281,967.240,1207.795,1244.946,{}
7,1000000,16,512,mixed,10000,528,9472,0,1259.253,974.298,1216.130,1246.936,{}
8,1000000,16,512,mixed,10000,528,9472,0,1267.117,982.275,1223.588,1255.677,{}
9,1000000,16,512,mixed,10000,528,9472,0,1254.531,970.434,1214.101,1243.628,{}
10,1000000,16,512,mixed,10000,528,9472,0,1262.305,973.517,1213.862,1250.735,{}
