repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
1,100000,4,32,mixed,2000,36,1964,0,210.172,155.938,197.009,207.643,{}
2,100000,4,32,mixed,2000,36,1964,0,224.189,167.385,211.194,221.865,{}
3,100000,4,32,mixed,2000,36,1964,0,208.372,161.488,196.506,206.089,{}
4,100000,4,32,mixed,2000,36,1964,0,208.519,157.183,195.446,206.577,{}
5,100000,4,32,mixed,2000,36,1964,0,215.492,166.403,204.420,212.879,{}
6,100000,4,32,mixed,2000,67,1933,0,234.531,182.559,218.797,229.367,{}
7,100000,4,32,mixed,2000,36,1964,0,216.671,155.728,191.669,214.713,{}
8,100000,4,32,mixed,2000,36,1964,0,227.282,176.611,214.044,225.220,{}
9,100000,4,32,mixed,2000,36,1964,0,209.828,163.094,197.414,207.945,{}
10,100000,4,32,mixed,2000,36,1964,0,211.007,160.294,198.889,208.602,{}
1,100000,4,64,mixed,2000,68,1932,0,210.240,162.581,197.532,208.204,{}
2,100000,4,64,mixed,2000,68,1932,0,204.883,157.712,191.948,202.847,{}
3,100000,4,64,mixed,2000,68,1932,0,209.051,155.146,195.866,207.101,{}
4,100000,4,64,mixed,2000,68,1932,0,226.410,175.916,212.461,224.385,{}
5,100000,4,64,mixed,2000,68,1932,0,208.460,162.939,194.923,206.298,{}
6,100000,4,64,mixed,2000,68,1932,0,203.572,154.606,191.046,201.186,{}
7,100000,4,64,mixed,2000,68,1932,0,226.336,165.597,212.758,223.859,{}
8,100000,4,64,mixed,2000,68,1932,0,209.597,162.882,197.250,207.523,{}
9,100000,4,64,mixed,2000,68,1932,0,204.836,156.311,193.919,202.730,{}
10,100000,4,64,mixed,2000,68,1932,0,217.199,165.154,208.091,215.044,{}
1,100000,4,128,mixed,2000,132,1868,0,208.505,161.842,201.548,206.204,{}
2,100000,4,128,mixed,2000,132,1868,0,207.488,158.093,200.682,204.700,{}
3,100000,4,128,mixed,2000,132,1868,0,213.793,163.539,207.270,211.597,{}
4,100000,4,128,mixed,2000,132,1868,0,208.978,161.152,201.909,206.648,{}
