repeat_index,model,scenario_id,phase,description,dataset_rows,workload,concurrency,total_requests,workers,queue_size,driver,success_requests,rejected_requests,error_requests,throughput_rps,avg_ms,p95_ms,p99_ms,max_ms,real_seconds,user_seconds,sys_seconds,cpu_util_percent,max_rss_kb,voluntary_ctx,involuntary_ctx
1,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4762.147,0.200,0.328,0.385,2.703,0.330,0.110,0.020,39.394,6029312.0,826.0,284.0
2,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,5274.291,0.183,0.307,0.377,1.902,0.310,0.110,0.020,41.935,6078464.0,970.0,306.0
3,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,3708.644,0.262,0.566,1.245,4.983,0.360,0.110,0.020,36.111,6062080.0,863.0,622.0
4,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4614.674,0.210,0.343,0.435,1.993,0.340,0.110,0.020,38.235,6078464.0,858.0,440.0
5,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,5018.923,0.193,0.290,0.357,2.376,0.300,0.100,0.020,40.000,6029312.0,824.0,232.0
6,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4990.811,0.194,0.303,0.456,1.864,0.320,0.110,0.020,40.625,6062080.0,859.0,438.0
7,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,5075.425,0.191,0.286,0.381,2.024,0.310,0.100,0.020,38.710,6062080.0,831.0,271.0
8,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4666.597,0.208,0.322,0.644,2.780,0.310,0.100,0.020,38.710,6062080.0,923.0,331.0
9,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,5263.532,0.185,0.287,0.432,1.915,0.320,0.110,0.020,40.625,6062080.0,806.0,450.0
10,serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4140.742,0.235,0.357,1.246,5.231,0.330,0.100,0.020,36.364,6029312.0,814.0,331.0
1,thread_pool,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4520.298,0.215,0.342,0.713,2.990,0.320,0.100,0.020,37.500,6078464.0,690.0,921.0
2,thread_pool,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4855.090,0.200,0.303,0.501,3.182,0.310,0.110,0.020,41.935,6127616.0,729.0,889.0
3,thread_pool,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4838.327,0.201,0.295,0.354,2.059,0.320,0.100,0.020,37.500,6094848.0,681.0,898.0
