dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
100000,4,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,112.163,15.761,2.510,0.675,5.001,3.432,8.261,7.132
100000,4,32,mixed,1024,10,958.800,137.505,3.600,11.384,61.600,129.950,414.184,426.766,9.541,12.442,13.860,31.166,223.073,440.811
100000,4,64,mixed,512,10,487.400,53.881,1.700,3.653,22.900,50.240,108.398,13.353,5.148,6.141,11.025,15.301,14.373,18.690
100000,4,64,mixed,1024,10,983.700,127.440,1.300,4.111,39.000,123.329,236.996,9.939,6.837,13.610,14.646,33.175,18.213,35.697
100000,4,128,mixed,512,10,503.900,25.614,0.100,0.316,8.000,25.298,107.715,13.599,3.765,4.483,7.478,11.472,9.911,13.349
100000,4,128,mixed,1024,10,1013.900,31.939,0.000,0.000,10.100,31.939,332.144,427.333,18.476,51.340,139.180,426.999,142.359,426.405
100000,4,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,109.352,16.238,4.153,5.826,8.210,14.227,11.374,16.761
100000,4,256,mixed,1024,10,1004.200,62.613,1.000,3.162,18.800,59.451,195.736,18.660,6.864,15.027,15.532,38.352,20.053,42.047
100000,4,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,110.391,18.342,4.276,4.198,10.555,14.224,13.119,15.190
100000,4,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,197.989,16.727,3.896,5.191,7.828,12.709,14.541,18.418
100000,8,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,106.554,13.033,2.312,0.281,3.831,0.465,6.202,1.407
100000,8,32,mixed,1024,10,962.800,136.701,2.400,5.797,58.800,130.922,202.575,23.699,6.562,9.850,20.469,29.624,23.914,32.666
100000,8,64,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,106.470,12.608,2.271,0.203,3.718,0.341,5.816,0.892
100000,8,64,mixed,1024,10,952.400,151.006,4.500,10.298,67.100,141.459,195.844,18.771,8.202,13.448,21.012,38.684,27.090,45.729
100000,8,128,mixed,512,10,491.200,65.775,0.100,0.316,20.700,65.459,113.825,19.098,7.146,12.983,14.509,23.529,17.770,24.349
100000,8,128,mixed,1024,10,970.600,94.692,2.100,3.510,51.300,91.494,243.723,76.724,9.072,11.840,24.402,32.671,40.413,40.909
100000,8,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,110.125,16.014,2.394,0.331,3.988,0.813,6.720,2.237
100000,8,256,mixed,1024,10,984.900,82.438,0.800,2.201,38.300,80.785,198.866,16.862,11.167,19.167,24.884,45.531,30.907,52.612
100000,8,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,160.367,98.904,11.997,19.763,36.260,73.922,51.796,103.726
100000,8,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,214.033,41.857,6.171,12.170,13.040,29.452,20.798,33.701
100000,16,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,127.546,80.805,5.959,11.790,26.420,72.114,28.578,72.111
100000,16,32,mixed,1024,10,982.800,130.286,1.400,4.427,39.800,125.859,209.662,25.808,5.111,9.228,11.576,25.348,16.368,31.356
