dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
10000,4,32,mixed,512,10,475.600,115.107,2.600,8.222,33.800,106.885,94.168,5.004,5.800,11.777,9.734,20.391,12.663,23.498
10000,4,64,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,96.024,7.833,2.193,0.335,3.443,0.400,7.677,6.932
10000,4,128,mixed,512,10,483.200,91.074,1.800,5.692,27.000,85.381,92.737,8.741,7.181,16.343,11.537,26.622,13.954,27.271
10000,4,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,89.867,2.426,2.043,0.079,3.250,0.318,5.149,1.286
10000,4,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,96.227,8.711,7.364,15.651,13.352,24.445,15.439,25.239
10000,8,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,91.002,3.011,2.031,0.119,3.184,0.232,4.860,1.247
10000,8,64,mixed,512,10,495.000,53.759,0.400,1.265,16.600,52.494,91.152,4.083,3.853,5.957,7.582,14.320,9.643,15.193
10000,8,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,90.376,1.741,2.027,0.082,3.211,0.138,4.768,1.002
10000,8,256,mixed,512,10,506.100,18.657,0.200,0.632,5.700,18.025,94.096,6.539,6.678,10.731,13.942,20.427,16.188,21.437
10000,8,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,90.582,1.770,1.989,0.076,3.170,0.155,5.043,1.025
10000,16,32,mixed,512,10,509.000,9.487,0.000,0.000,3.000,9.487,91.332,4.203,2.370,0.993,4.913,5.462,7.589,6.582
10000,16,64,mixed,512,10,492.500,61.664,0.400,1.265,19.100,60.400,91.361,2.070,3.995,6.166,7.226,12.715,10.027,16.447
10000,16,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,93.547,3.718,2.273,0.569,4.541,3.912,6.539,4.219
10000,16,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,90.960,1.745,2.013,0.085,3.078,0.180,4.433,0.644
10000,16,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,91.199,3.050,2.047,0.087,3.161,0.213,4.678,0.879
10000,4,32,mixed,1024,10,953.000,154.019,3.500,7.472,67.500,146.572,181.434,3.732,5.599,8.012,14.889,25.377,19.044,29.434
10000,4,64,mixed,1024,10,968.500,146.354,3.100,8.198,52.400,138.155,180.441,6.530,5.521,9.238,14.084,24.799,18.837,30.691
10000,4,128,mixed,1024,10,991.400,103.090,2.500,7.906,30.100,95.185,178.419,4.843,5.070,9.786,11.447,26.546,14.652,30.011
10000,4,256,mixed,1024,10,1013.800,32.255,0.800,2.530,9.400,29.725,185.471,10.867,6.481,9.829,17.325,30.032,21.879,33.176
10000,4,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,184.804,11.610,6.078,12.319,15.390,30.495,18.550,33.478
10000,8,32,mixed,1024,10,974.300,157.165,0.600,1.897,49.100,155.268,182.279,4.129,5.167,9.983,11.297,25.746,14.987,30.368
10000,8,64,mixed,1024,10,987.300,116.056,1.100,3.479,35.600,112.577,183.687,5.655,5.133,9.803,11.580,26.697,15.613,32.731
