dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
100000,8,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,105.602,10.990,2.741,0.657,5.421,2.490,8.253,3.110
100000,8,128,mixed,1024,10,1023.800,0.632,0.000,0.000,0.200,0.632,183.287,4.313,2.522,1.371,5.957,6.968,9.735,8.710
100000,8,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,100.590,17.857,2.333,0.530,4.353,2.365,8.779,9.233
100000,8,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,183.970,3.373,3.429,3.070,9.339,13.208,13.775,15.739
100000,16,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,95.359,7.743,2.354,0.624,4.435,2.663,7.247,4.371
100000,16,128,mixed,1024,10,1019.000,15.811,0.000,0.000,5.000,15.811,186.088,8.981,2.933,2.824,7.106,12.036,11.277,15.104
100000,16,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,92.847,5.681,2.782,1.405,6.348,5.688,8.492,7.002
100000,16,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,203.594,23.908,3.058,2.153,9.033,12.394,14.185,16.972
1000000,8,128,mixed,512,10,502.700,29.409,0.000,0.000,9.300,29.409,94.660,8.580,3.693,4.828,7.388,11.930,10.499,13.678
1000000,8,128,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,194.975,28.876,2.360,0.874,4.746,3.992,10.822,10.197
1000000,8,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,101.302,19.688,4.792,5.823,10.791,14.528,14.610,16.729
1000000,8,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,174.293,11.779,2.054,0.323,4.267,2.430,7.861,4.840
1000000,16,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,84.448,5.509,2.159,0.512,4.433,2.762,6.692,4.006
1000000,16,128,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,169.753,15.939,2.004,0.338,3.739,1.559,6.765,2.516
1000000,16,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,106.637,17.773,3.275,2.546,8.502,11.871,12.404,11.977
1000000,16,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,163.449,4.604,1.973,0.296,4.040,2.240,6.945,3.855
